velo_e	velo_d	v_e_lib	v_d_lib
0	0	0	0	0.0124809
0	0	0	0	0.0291075
76.0398	76.0398	0	0	0.0422585
66.4947	66.4947	194	129	0.0572973
134.658	134.658	236	260	0.0721498
119.666	119.666	285	228	0.0888629
74.2884	74.2884	216	278	0.102324
62.4212	124.842	285	277	0.118344
111.076	111.076	245	296	0.13635
154.582	154.582	321	304	0.149288
236.468	197.057	351	309	0.174661
166.349	166.349	375	320	0.186684
134.116	201.174	385	332	0.201597
136.407	204.61	394	350	0.216259
129.116	129.116	392	354	0.231749
197.03	197.03	373	366	0.246975
135.402	135.402	358	381	0.261746
139.054	139.054	346	398	0.276128
126.133	126.133	338	408	0.291985
131.438	197.157	336	408	0.307201
133.576	200.365	340	400	0.322174
163.58	218.106	338	385	0.340513
171.267	171.267	353	380	0.352191
217.86	217.86	350	368	0.370551
131.557	197.336	352	364	0.385754
185.403	185.403	355	361	0.396541
135.706	203.558	348	359	0.411279
166.123	166.123	361	357	0.423318
122.121	122.121	370	361	0.439696
205.254	136.836	362	359	0.454312
133.278	199.917	363	354	0.469318
132.367	198.551	364	352	0.484427
131.187	131.187	368	355	0.499673
196.069	196.069	370	362	0.514973
134.011	134.011	371	358	0.529898
127.264	190.896	375	371	0.545613
207.53	138.353	377	370	0.560069
88.4633	88.4633	376	374	0.582677
151.533	227.3	375	373	0.595875
211.749	141.166	381	375	0.610043
132.169	198.254	381	371	0.625175
200.988	133.992	375	379	0.640102
197.65	131.767	374	374	0.65528
135.835	135.835	372	369	0.670004
156.983	104.655	373	367	0.689114
245.324	163.55	371	373	0.701343
135.365	135.365	372	370	0.716118
198.768	132.512	371	366	0.731211
186.372	124.248	365	375	0.747307
136.281	136.281	288	365	0.761983
94.1283	94.1283	367	358	0.783231
146.888	146.888	366	362	0.796846
235.006	156.671	368	361	0.809612
140.771	140.771	364	357	0.82382
124.99	124.99	366	349	0.839821
207.306	138.204	356	349	0.854292
134.053	134.053	358	347	0.869212
132.738	132.738	354	342	0.884279
127.061	127.061	354	339	0.900019
132.622	132.622	360	345	0.9151
201.809	134.539	363	352	0.929966
131.765	197.648	367	351	0.945144
202.299	134.866	365	358	0.959973
80.1885	80.1885	365	364	0.984915
229.857	229.857	363	360	1.00232
100.288	100.288	363	354	1.02226
217.298	144.865	363	359	1.03607
210.831	140.554	355	361	1.05029
256.207	170.804	355	364	1.062
300.631	225.473	361	368	1.07531
154.969	154.969	364	370	1.08822
229.262	152.841	364	374	1.1013
243.459	162.306	364	368	1.11362
128.636	192.954	365	367	1.12917
201.357	134.238	364	373	1.14407
132.892	199.338	379	373	1.15912
112.721	112.721	372	368	1.17686
241.92	241.92	364	367	1.18926
209.232	139.488	362	361	1.2036
159.705	159.705	364	351	1.21612
140.9	140.9	359	354	1.23032
129.695	194.543	350	351	1.24574
137.79	137.79	352	349	1.26025
133.119	133.119	357	359	1.27528
202.294	202.294	352	360	1.29011
128.843	128.843	356	358	1.30563
128.448	192.672	354	361	1.3212
135.489	135.489	352	361	1.33596
139.248	139.248	350	364	1.35033
207.611	207.611	358	356	1.36959
123.775	123.775	355	356	1.38575
239.703	159.802	354	349	1.39827
142.782	142.782	350	351	1.41227
125.765	125.765	344	344	1.42818
142.424	213.636	349	344	1.44222
119.714	119.714	349	349	1.45893
141.95	141.95	361	363	1.47302
195.11	130.073	368	361	1.48839
143.845	143.845	360	368	1.50229
133.666	200.499	360	366	1.51726
203.679	135.786	364	366	1.53199
141.371	141.371	361	367	1.54613
126.417	126.417	373	367	1.56195
69.5569	52.1677	370	367	1.61946
87.6969	87.6969	370	358	1.64227
96.1136	72.0852	373	360	1.68388
103.052	103.052	375	364	1.713
152.509	152.509	364	368	1.72611
132.413	132.413	367	366	1.74121
200.155	133.436	364	366	1.7562
157.974	105.316	368	364	1.77519
164.957	164.957	366	361	1.78732
133.423	200.134	367	365	1.80231
113.57	113.57	288	355	1.81992
206.577	137.718	374	351	1.83444
202.273	134.848	357	349	1.84927
110.92	166.379	359	352	1.8673
161.715	161.715	369	353	1.87967
143.704	143.704	378	360	1.89359
191.893	191.893	371	355	1.90922
138.939	208.408	372	355	1.92362
130.157	130.157	366	355	1.93898
147.564	147.564	357	354	1.95254
183.876	183.876	362	351	1.96885
116.802	116.802	359	356	1.98597
143.241	143.241	284	363	1.99994
125.256	125.256	368	365	2.0159
138.286	138.286	367	359	2.03037
128.849	193.274	364	365	2.04589
138.869	138.869	362	366	2.06029
195.658	195.658	364	367	2.07562
138.392	138.392	363	371	2.09008
140.031	93.3538	280	362	2.1115
209.693	139.795	364	370	2.12581
160.309	240.464	358	369	2.13828
194.871	194.871	364	365	2.14855
148.754	223.13	367	376	2.16199
177.898	237.198	362	373	2.17885
259.91	259.91	369	369	2.1904
252.596	168.397	354	367	2.20227
148.515	148.515	357	353	2.21574
137.238	137.238	359	355	2.23031
133.678	133.678	354	356	2.24527
126.691	126.691	357	360	2.26106
136.246	136.246	358	365	2.27574
137.447	137.447	364	360	2.29029
129.304	129.304	357	369	2.30576
185.727	185.727	356	355	2.32191
140.335	210.503	350	356	2.33616
133.396	133.396	350	355	2.35116
211.936	211.936	345	350	2.37003
126.871	126.871	348	349	2.38579
288.071	192.047	350	356	2.39621
214.007	142.671	350	353	2.41023
155.845	155.845	351	349	2.42306
131.484	131.484	353	344	2.43827
143.989	143.989	355	351	2.45216
111.789	167.684	358	360	2.47005
167.447	167.447	367	358	2.48199
141.498	141.498	366	367	2.49613
199.854	199.854	360	362	2.51114
133.648	133.648	366	367	2.5261
133.23	199.845	280	360	2.54112
135.741	135.741	359	363	2.55585
210.573	126.344	365	365	2.57959
186.922	280.383	367	368	2.59029
133.407	133.407	371	364	2.60529
202.044	134.696	369	358	2.62013
132.285	132.285	366	357	2.63525
134.703	134.703	368	353	2.6501
132.269	132.269	365	349	2.66522
124.399	124.399	282	349	2.6813
134.114	134.114	364	344	2.69621
200.921	133.947	364	350	2.71114
159.609	159.609	354	353	2.72994
166.401	166.401	348	349	2.74196
141.218	141.218	351	360	2.75612
105.763	105.763	357	363	2.77503
188.975	188.975	359	365	2.79091
163.094	163.094	351	363	2.80317
130.888	196.332	356	361	2.81845
134.726	134.726	359	362	2.83329
190.161	190.161	350	360	2.84907
151.429	151.429	357	353	2.86228
112.512	112.512	368	357	2.88005
167.143	167.143	374	359	2.89202
209.5	209.5	380	364	2.91111
152.587	228.88	382	365	2.92422
134.225	134.225	388	371	2.93912
207.077	207.077	386	370	2.95361
197.539	131.692	379	365	2.96879
117.26	117.26	375	366	2.98585
149.543	149.543	374	372	2.99922
152.281	152.281	376	372	3.01236
166.983	166.983	364	370	3.03032
168.127	168.127	361	371	3.04222
133.053	133.053	354	369	3.05725
203.769	135.846	362	367	3.07197
130.672	130.672	364	375	3.08728
134.239	201.358	362	372	3.10218
141.955	141.955	363	374	3.11627
130.638	195.957	360	371	3.13158
138.078	138.078	364	366	3.14606
140.125	140.125	375	369	3.16033
91.2336	91.2336	375	369	3.18226
302.586	201.724	368	372	3.19217
315.04	189.024	370	363	3.20804
194.653	194.653	367	366	3.21832
225.583	112.792	348	360	3.23605
164.018	164.018	354	283	3.24824
277.204	277.204	359	364	3.25906
227.201	151.468	350	365	3.27227
199.62	133.08	358	360	3.2873
136.437	204.656	351	361	3.30196
224.644	149.763	352	354	3.31531
153.466	153.466	356	349	3.32834
133.49	133.49	358	348	3.34332
128.522	192.783	358	343	3.35889
165.975	110.65	356	342	3.37696
164.094	164.094	360	345	3.38915
198.03	132.02	366	271	3.4043
133.507	133.507	364	335	3.41928
135.771	203.657	365	346	3.43401
132.664	198.996	367	347	3.44909
137.494	137.494	359	341	3.46363
129.561	129.561	363	353	3.47907
131.086	196.629	357	364	3.49433
134.04	134.04	361	364	3.50925
132.821	199.231	350	359	3.5243
187.924	125.283	349	365	3.54027
200.072	133.381	362	365	3.55526
210.357	105.178	364	366	3.57428
167.576	167.576	354	366	3.58621
128.375	128.375	371	370	3.60179
139.868	139.868	377	364	3.61609
198.508	198.508	375	363	3.6312
133.543	133.543	373	359	3.64618
129.765	194.648	381	370	3.66159
206.563	137.709	383	366	3.67612
187.313	124.875	373	370	3.69213
142.601	142.601	363	371	3.70616
129.5	194.25	365	373	3.7216
134.425	134.425	369	372	3.73648
131.087	131.087	360	371	3.75174
213.942	213.942	366	363	3.77043
131.318	196.977	369	367	3.78566
221.562	147.708	371	370	3.7992
232.132	154.755	369	367	3.81213
163.963	163.963	368	359	3.82433
126.826	126.826	376	363	3.8401
131.841	131.841	369	361	3.85527
135.212	135.212	366	359	3.87006
208.427	138.951	363	353	3.88445
128.183	128.183	357	354	3.90005
133.592	133.592	356	360	3.91502
134.161	201.242	355	358	3.92993
137.298	137.298	355	363	3.9445
196.556	131.037	359	353	3.95976
115.222	115.222	353	357	3.97712
200.528	200.528	359	361	3.99208
162.752	162.752	363	357	4.01051
170.78	256.17	356	357	4.02222
134.793	134.793	354	365	4.03706
125.784	188.677	357	363	4.05296
130.365	130.365	363	359	4.0683
215.373	143.582	362	361	4.08223
132.398	132.398	361	369	4.09734
136.644	136.644	365	371	4.11197
82.68	82.68	361	370	4.13616
126.448	126.448	366	364	4.15198
217.368	217.368	365	358	4.17038
130.284	130.284	366	358	4.18573
158.464	237.696	371	355	4.19835
232.743	155.162	373	360	4.21124
229.536	153.024	365	353	4.22431
133.576	133.576	363	360	4.23929
97.0367	145.555	353	363	4.2599
190.043	253.391	356	361	4.27568
149.64	149.64	350	365	4.28905
131.034	131.034	351	356	4.30431
130.737	87.1582	348	356	4.32726
213.783	142.522	349	359	4.34129
127.18	190.77	349	362	4.35702
262.076	262.076	355	360	4.37991
200.746	301.119	353	362	4.38987
286.154	286.154	357	358	4.40036
134.04	134.04	360	355	4.41528
134.822	134.822	359	352	4.43011
131.901	197.851	364	357	4.44528
187.708	125.138	362	358	4.46126
135.66	135.66	356	356	4.476
132.791	132.791	355	362	4.49106
160.698	160.698	365	288	4.50973
241.421	160.948	356	365	4.52216
131.898	197.847	358	367	4.53732
135.589	135.589	359	364	4.55207
218.382	218.382	358	360	4.57039
130.725	130.725	360	358	4.58569
235.976	235.976	360	358	4.5984
146.654	146.654	362	354	4.61204
162.766	162.766	364	348	4.62433
