v_calc	v_speed
0	0
0	0
0	0
0.096	0
0.13	203
0.192	196
0.272	410
0.286	440
0.326	453
0.332	462
0.334	448
0.333	439
0.279	426
0.338	429
0.312	440
0.26	438
0.317	441
0.369	455
0.328	456
0.306	439
0.297	452
0.347	468
0.361	493
0.372	480
0.332	470
0.263	474
0.399	479
0.353	486
0.335	476
0.33	449
0.302	446
0.31	450
0.348	456
0.326	456
0.292	443
0.353	442
0.29	445
0.344	438
0.283	438
0.229	435
0.455	436
0.303	461
0.291	407
0.306	409
0.32	418
0.29	425
0.278	420
0.331	426
0.301	426
0.285	417
0.32	417
0.29	426
0.296	420
0.289	430
0.332	435
0.297	429
0.304	417
0.32	420
0.246	416
0.328	418
0.32	429
0.26	415
0.285	415
0.318	420
0.307	420
0.296	405
0.268	397
0.288	405
0.267	409
0.283	416
0.311	419
0.308	425
0.301	418
0.286	407
0.294	410
0.299	428
0.292	433
0.325	432
0.31	429
0.282	425
0.293	433
0.303	423
0.343	433
0.249	437
0.371	420
0.287	441
0.296	417
0.302	429
0.322	433
0.286	436
0.32	441
0.288	436
0.325	423
0.259	421
0.337	416
0.278	431
0.306	429
0.312	434
0.324	432
0.322	425
0.296	424
0.305	418
0.267	423
0.313	441
0.321	444
0.306	416
0.286	411
0.295	405
0.296	415
0.233	413
0.301	409
0.294	420
0.289	414
0.286	410
0.299	419
0.303	430
0.304	416
0.271	418
0.297	422
0.316	429
0.271	418
0.294	414
0.306	419
0.322	424
0.271	424
0.31	430
0.276	433
0.319	422
0.314	429
0.306	416
0.279	414
0.268	409
0.336	425
0.327	438
0.311	432
0.294	432
0.28	417
0.316	427
0.265	427
0.303	429
0.281	427
0.316	428
0.343	433
0.282	415
0.281	401
0.283	405
0.298	428
0.336	433
0.305	431
0.342	427
0.279	423
0.315	406
0.257	419
0.29	419
0.335	437
0.291	429
0.305	415
0.282	416
0.291	414
0.368	417
0.289	427
0.274	394
0.328	407
0.283	420
0.296	404
0.274	406
0.283	405
0.299	414
0.321	407
0.273	410
0.307	410
0.276	407
0.313	406
0.274	422
0.294	426
0.322	429
0.335	427
0.301	418
0.258	408
0.296	419
0.325	432
0.308	434
0.314	416
0.257	418
0.326	423
0.316	444
0.293	443
0.285	435
0.352	437
0.305	440
0.276	412
0.339	416
0.31	422
0.268	418
0.315	415
0.284	423
0.315	427
0.3	423
0.312	426
0.291	414
0.257	411
0.301	419
0.339	431
0.307	414
0.256	414
0.333	412
0.291	424
0.289	413
0.265	416
0.298	419
0.333	435
0.272	427
0.314	421
0.305	428
0.254	423
0.294	413
0.342	426
0.27	430
0.303	404
0.265	411
0.3	408
0.272	414
0.292	419
0.294	421
0.303	415
