v_calc	v_speed
0	0
0	0
0	0
0.068	0
0.184	175
0.174	386
0.424	420
0.341	456
0.285	411
0.274	393
0.275	396
0.285	398
0.306	421
0.279	432
0.336	430
0.318	447
0.286	435
0.358	435
0.323	432
0.277	420
0.286	430
0.325	468
0.337	478
0.349	476
0.318	471
0.364	471
0.338	472
0.335	466
0.322	457
0.325	454
0.318	458
0.338	465
0.338	458
0.318	448
0.326	438
0.266	442
0.356	447
0.306	442
0.275	441
0.326	442
0.325	454
0.283	454
0.363	441
0.281	438
0.332	422
0.286	431
0.293	432
0.33	434
0.337	433
0.288	417
0.283	419
0.321	426
0.286	429
0.298	428
0.33	431
0.31	434
0.321	425
0.28	412
0.332	422
0.267	425
0.312	422
0.335	423
0.271	424
0.286	417
0.35	425
0.308	412
0.27	400
0.267	404
0.344	417
0.277	431
0.294	387
0.289	394
0.277	399
0.263	413
0.29	422
0.339	434
0.244	438
0.348	414
0.282	418
0.3	414
0.293	423
0.37	421
0.299	420
0.262	403
0.27	407
0.335	426
0.271	436
0.327	413
0.273	426
0.306	425
0.308	432
0.296	428
0.321	431
0.263	421
0.33	439
0.281	436
0.321	426
0.3	427
0.295	429
0.313	433
0.325	438
0.292	431
0.351	429
0.272	430
0.329	423
0.301	441
0.301	418
0.291	411
0.305	409
0.284	410
0.303	423
0.298	420
0.306	406
0.132	397
0.431	423
0.32	418
0.295	377
0.249	393
0.295	411
0.289	420
0.317	400
0.256	398
0.266	383
0.307	399
0.255	411
0.31	400
0.269	403
0.265	398
0.283	412
0.361	419
0.27	422
0.292	391
0.29	407
0.185	412
0.406	428
0.305	466
0.392	446
0.285	432
0.276	402
0.319	418
0.333	438
0.319	438
0.244	421
0.384	415
0.263	424
0.31	413
0.283	426
0.281	426
0.324	434
0.34	443
0.307	432
0.29	414
0.275	416
0.318	428
0.304	436
0.31	435
0.305	428
0.267	426
0.347	420
0.288	423
0.288	414
0.307	427
0.313	425
0.282	418
0.299	414
0.317	423
0.293	417
0.3	395
0.28	396
0.255	400
0.302	410
0.307	418
0.263	414
0.301	414
0.305	433
0.292	429
0.323	423
0.293	416
0.295	414
0.265	403
0.294	413
0.28	416
0.334	424
0.278	426
0.287	408
0.301	426
0.349	433
0.277	437
0.292	419
0.323	427
0.309	443
0.319	426
0.283	426
0.285	419
0.326	423
0.286	433
0.306	427
0.326	434
0.284	434
0.272	436
0.34	440
0.282	447
0.318	427
0.314	430
0.323	431
0.29	426
0.306	426
0.302	437
0.277	428
0.327	426
0.263	432
0.323	421
0.309	437
0.267	428
0.351	423
0.296	442
0.344	436
0.297	430
0.284	411
0.259	414
0.349	425
0.255	425
0.33	408
0.273	417
0.277	401
